"Keyword"	"SERP features"	"Volume"	"KD"	"CPC"	"Previous organic traffic"	"Current organic traffic"	"Organic traffic change"	"Current paid traffic"	"Previous position"	"Current position"	"Position change"	"Previous URL inside"	"Previous URL"	"Current URL inside"	"Current URL"	"Previous date"	"Current date"
"cyclical keto diet"	"Sitelinks, People also ask, Image pack"	"700"	"20"	"3.21"	"28"	"35"	"7"	"0"	"7"	"6"	"1"	""	"https://perfectketo.com/cyclical-ketogenic-diet/"	""	"https://perfectketo.com/cyclical-ketogenic-diet/"	"2023-02-28 04:35:04"	"2023-04-30 00:06:06"
"is jicama keto"	"Featured snippet, Thumbnail, People also ask, Top stories, Video preview"	"700"	"6"	""	"35"	"35"	"0"	"0"	"4"	"4"	""	""	"https://perfectketo.com/jicama-keto-friendly/"	""	"https://perfectketo.com/jicama-keto-friendly/"	"2023-02-25 12:22:33"	"2023-05-01 23:09:23"
"can i eat popcorn on keto"	"Featured snippet, People also ask, Top stories, Thumbnail, Videos, Video preview"	"500"	"20"	""	"19"	"35"	"15"	"0"	"5"	"5"	""	""	"https://perfectketo.com/is-popcorn-keto-friendly/"	""	"https://perfectketo.com/is-popcorn-keto-friendly/"	"2023-02-24 19:13:19"	"2023-04-29 10:07:39"
"peanut butter keto"	"Featured snippet, Thumbnail, People also ask, Top stories, Shopping results, Sitelinks"	"5600"	"18"	"0.00"	"43"	"35"	"-9"	"0"	"13"	"14"	"-1"	""	"https://perfectketo.com/is-peanut-butter-good-for-you/"	""	"https://perfectketo.com/is-peanut-butter-good-for-you/"	"2023-02-24 03:08:05"	"2023-05-01 12:49:05"
"can collagen cause constipation"	"Featured snippet, Thumbnail, People also ask, Image pack"	"1100"	"36"	""	"28"	"35"	"7"	"0"	"10"	"9"	"1"	""	"https://perfectketo.com/side-effects-of-collagen/"	""	"https://perfectketo.com/side-effects-of-collagen/"	"2023-02-27 21:05:09"	"2023-05-02 03:55:33"
"coconut flour carbs"	"Featured snippet, Thumbnail, People also ask, Top stories, Videos"	"800"	"6"	"0.84"	"30"	"35"	"5"	"0"	"6"	"5"	"1"	""	"https://perfectketo.com/is-coconut-flour-keto-friendly/"	""	"https://perfectketo.com/is-coconut-flour-keto-friendly/"	"2023-02-07 13:40:28"	"2023-04-28 06:46:51"
"is cornstarch keto friendly"	"Sitelinks, Top stories, Thumbnail"	"300"	"9"	""	"28"	"34"	"7"	"0"	"4"	"3"	"1"	""	"https://perfectketo.com/low-carb-cornstarch-substitute/"	""	"https://perfectketo.com/low-carb-cornstarch-substitute/"	"2023-02-18 07:02:53"	"2023-04-12 18:41:04"
"collagen vs collagen peptides"	"People also ask, Sitelinks, Video preview"	"700"	"20"	""	"53"	"34"	"-19"	"0"	"5"	"7"	"-2"	""	"https://perfectketo.com/collagen-vs-collagen-peptides/"	""	"https://perfectketo.com/collagen-vs-collagen-peptides/"	"2023-02-23 11:06:49"	"2023-04-30 14:25:36"
"lazy keto"	"Sitelinks, People also ask, Image pack"	"5600"	"27"	"2.81"	"0"	"34"	"34"	"0"	"23"	"11"	"12"	""	"https://perfectketo.com/lazy-keto/"	""	"https://perfectketo.com/lazy-keto/"	"2023-03-01 08:52:23"	"2023-05-01 20:49:22"
"bunless burger near me"	"People also ask, Top stories, Thumbnail"	"250"	"36"	""	"27"	"34"	"7"	"0"	"3"	"2"	"1"	""	"https://perfectketo.com/keto-fast-food/"	""	"https://perfectketo.com/keto-fast-food/"	"2023-02-11 00:29:57"	"2023-04-07 15:56:52"
"water fast bowel movements"	"Featured snippet, Thumbnail, People also ask"	"90"	"10"	""	"7"	"34"	"27"	"0"	"5"	"1"	"4"	""	"https://perfectketo.com/diarrhea-during-fasting/"	"Featured snippet"	"https://perfectketo.com/diarrhea-during-fasting/"	"2023-02-12 02:12:16"	"2023-04-08 01:12:38"
"is quinoa keto"	"Featured snippet, People also ask, Videos, Sitelinks, Top stories, Thumbnail, Video preview"	"4500"	"20"	""	"62"	"34"	"-28"	"0"	"8"	"10"	"-2"	""	"https://perfectketo.com/is-quinoa-low-carb/"	""	"https://perfectketo.com/is-quinoa-low-carb/"	"2023-02-28 12:16:02"	"2023-05-02 10:54:52"
"gatorade zero keto"	"Sitelinks, People also ask, Image pack"	"250"	"9"	""	"34"	"34"	"0"	"0"	"3"	"3"	""	""	"https://perfectketo.com/is-gatorade-zero-keto/"	""	"https://perfectketo.com/is-gatorade-zero-keto/"	"2023-02-15 19:16:24"	"2023-04-10 13:49:49"
"can fasting cause diarrhea"	"Featured snippet, Thumbnail, People also ask, Image pack, Video preview"	"300"	"8"	"0.00"	"34"	"34"	"0"	"0"	"3"	"3"	""	""	"https://perfectketo.com/diarrhea-during-fasting/"	""	"https://perfectketo.com/diarrhea-during-fasting/"	"2023-02-28 17:43:41"	"2023-04-21 17:36:35"
"is peanut butter keto"	"Featured snippet, Thumbnail, People also ask, Top stories, Sitelinks"	"6400"	"18"	"0.00"	"34"	"34"	"0"	"0"	"13"	"13"	""	""	"https://perfectketo.com/is-peanut-butter-good-for-you/"	""	"https://perfectketo.com/is-peanut-butter-good-for-you/"	"2023-03-01 15:19:06"	"2023-05-01 09:10:29"
"foods high in fat low in carbs"	"Featured snippet, Thumbnail, People also ask, Image pack, Sitelinks, Top stories, Videos"	"400"	"39"	"0.25"	"22"	"34"	"12"	"0"	"6"	"4"	"2"	""	"https://perfectketo.com/high-fat-low-carb-foods/"	""	"https://perfectketo.com/high-fat-low-carb-foods/"	"2023-02-27 05:48:56"	"2023-04-24 10:41:23"
"intermittent fasting and diarrhea"	"Image pack"	"250"	"10"	""	"34"	"34"	"0"	"0"	"3"	"3"	""	""	"https://perfectketo.com/diarrhea-during-fasting/"	""	"https://perfectketo.com/diarrhea-during-fasting/"	"2023-02-19 14:56:06"	"2023-04-13 09:23:08"
"keto mct oil"	"People also ask, Sitelinks, Image pack"	"150"	"12"	"0.97"	"3"	"34"	"31"	"0"	"9"	"1"	"8"	""	"https://perfectketo.com/what-is-mct-oil/"	""	"https://perfectketo.com/what-is-mct-oil/"	"2023-02-05 12:12:26"	"2023-04-24 19:33:15"
"safflower oil bad"	"People also ask, Sitelinks, Videos, Image pack, Top stories, Thumbnail"	"90"	"39"	"0.00"	"34"	"34"	"0"	"0"	"1"	"1"	""	"Featured snippet"	"https://perfectketo.com/safflower-oil/"	""	"https://perfectketo.com/safflower-oil/"	"2023-02-19 09:49:45"	"2023-04-14 03:02:53"
"c8 mct oil benefits"	"People also ask"	"350"	"64"	""	"42"	"34"	"-8"	"0"	"3"	"4"	"-1"	""	"https://perfectketo.com/c8-mct-oil/"	""	"https://perfectketo.com/c8-mct-oil/"	"2023-02-10 06:47:46"	"2023-05-01 22:54:53"
"xanthan gum keto"	"Featured snippet, Thumbnail, People also ask, Sitelinks, Videos, Top stories"	"400"	"10"	"0.83"	"27"	"34"	"7"	"0"	"4"	"3"	"1"	""	"https://perfectketo.com/xanthan-gum/"	""	"https://perfectketo.com/xanthan-gum/"	"2023-02-06 09:40:54"	"2023-04-26 19:31:28"
"keto diet tips"	"People also ask, Sitelinks, Adwords bottom"	"200"	"45"	"0.53"	"88"	"33"	"-54"	"0"	"1"	"2"	"-1"	""	"https://perfectketo.com/keto-diet-tips/"	""	"https://perfectketo.com/keto-diet-tips/"	"2023-02-08 12:32:03"	"2023-04-29 23:36:32"
"ketone strips color chart how to read"	"Featured snippet, Thumbnail, People also ask, Sitelinks, Video preview"	"90"	"16"	""	"11"	"33"	"23"	"0"	"3"	"1"	"2"	""	"https://perfectketo.com/ketone-strips-color-chart/"	"Featured snippet"	"https://perfectketo.com/ketone-strips-color-chart/"	"2023-02-14 04:38:48"	"2023-04-09 21:41:55"
"lowest carb nut butter"	"People also ask, Sitelinks, Shopping results, Thumbnail, Top stories, Video preview"	"100"	"2"	"0.67"	"33"	"33"	"0"	"0"	"1"	"1"	""	""	"https://perfectketo.com/healthiest-nut-butters/"	""	"https://perfectketo.com/healthiest-nut-butters/"	"2023-02-10 20:46:52"	"2023-04-30 10:14:03"
"is corn oil bad for you"	"Featured snippet, Thumbnail, People also ask, Video preview, Top stories"	"700"	"22"	"0.01"	"52"	"33"	"-19"	"0"	"4"	"6"	"-2"	""	"https://perfectketo.com/corn-oil/"	""	"https://perfectketo.com/corn-oil/"	"2023-02-28 00:08:54"	"2023-05-02 01:07:16"
"is ezekiel bread keto"	"People also ask, Top stories, Thumbnail, Video preview"	"300"	"11"	""	"34"	"33"	"0"	"0"	"3"	"3"	""	""	"https://perfectketo.com/is-bread-low-carb-friendly/"	""	"https://perfectketo.com/is-bread-low-carb-friendly/"	"2023-02-28 18:51:57"	"2023-04-26 04:56:09"
"atkins vs keto"	"People also ask, Sitelinks, Video preview"	"4000"	"19"	"0.93"	"10"	"33"	"24"	"0"	"18"	"13"	"5"	""	"https://perfectketo.com/atkins-vs-keto/"	""	"https://perfectketo.com/atkins-vs-keto/"	"2023-02-26 14:27:04"	"2023-04-30 05:40:26"
"intermittent fasting ketosis chart"	"Image pack, People also ask, Sitelinks"	"300"	"38"	""	"43"	"33"	"-10"	"0"	"1"	"3"	"-2"	"Image pack"	"https://perfectketo.com/16-8-intermittent-fasting-ketosis/"	""	"https://perfectketo.com/16-8-intermittent-fasting-ketosis/"	"2023-02-07 12:45:57"	"2023-04-28 07:01:43"
"is cauliflower rice low carb"	"People also ask, Top stories, Thumbnail, Video preview, Image pack"	"90"	"22"	""	"33"	"33"	"0"	"0"	"1"	"1"	""	""	"https://perfectketo.com/is-cauliflower-rice-keto/"	""	"https://perfectketo.com/is-cauliflower-rice-keto/"	"2023-02-12 09:16:58"	"2023-04-07 12:32:45"
"is pooping a lot a sign of ketosis"	"Sitelinks, Video preview"	"90"	"16"	""	""	"33"	""	"0"	""	"1"	"New"	""	""	""	"https://perfectketo.com/keto-poop/"	""	"2023-04-07 20:52:06"
"what is lazy keto"	"Sitelinks, People also ask"	"2500"	"32"	""	"63"	"33"	"-30"	"0"	"14"	"16"	"-2"	""	"https://perfectketo.com/lazy-keto/"	""	"https://perfectketo.com/lazy-keto/"	"2023-02-28 02:19:33"	"2023-04-30 02:51:02"
"is cornstarch keto"	"Featured snippet, People also ask, Top stories, Thumbnail, Sitelinks"	"700"	"8"	""	"33"	"33"	"0"	"0"	"4"	"4"	""	""	"https://perfectketo.com/low-carb-cornstarch-substitute/"	""	"https://perfectketo.com/low-carb-cornstarch-substitute/"	"2023-03-01 22:09:06"	"2023-04-28 20:26:17"
"keto meal plan pdf"	"Image pack, Video preview, Sitelinks"	"400"	"23"	""	"41"	"33"	"-8"	"0"	"5"	"6"	"-1"	""	"https://www.perfectketo.com/wp-content/uploads/2018/03/01_7-Day-Keto-Meal-Plan-Under-1600-Daily-Calories.pdf"	""	"https://www.perfectketo.com/wp-content/uploads/2018/03/01_7-Day-Keto-Meal-Plan-Under-1600-Daily-Calories.pdf"	"2023-02-26 23:05:09"	"2023-04-24 16:15:11"
"can you have splenda on keto"	"Sitelinks, Video preview"	"200"	"27"	""	"21"	"33"	"12"	"0"	"4"	"2"	"2"	""	"https://perfectketo.com/splenda-keto/"	""	"https://perfectketo.com/splenda-keto/"	"2023-02-19 14:12:07"	"2023-04-13 04:31:32"
"carbs in cornstarch"	"People also ask, Knowledge panel, Top stories, Thumbnail, Sitelinks, Video preview"	"2500"	"10"	"3.90"	"64"	"33"	"-31"	"0"	"5"	"8"	"-3"	""	"https://perfectketo.com/low-carb-cornstarch-substitute/"	""	"https://perfectketo.com/low-carb-cornstarch-substitute/"	"2023-02-25 21:15:43"	"2023-04-30 06:56:19"
"keto greens powder"	"Sitelinks, People also ask, Videos, Top stories, Thumbnail"	"80"	"0"	""	"22"	"33"	"11"	"0"	"1"	"1"	""	""	"https://perfectketo.com/product-guides/keto-greens-powder/"	""	"https://perfectketo.com/product-guides/keto-greens-powder/"	"2023-02-07 19:39:51"	"2023-04-28 19:43:26"
"upper stomach pain : keto"	"Sitelinks, Image pack"	"90"	"6"	""	"33"	"33"	"0"	"0"	"1"	"1"	""	""	"https://perfectketo.com/why-ketones-cause-stomach-pain/"	""	"https://perfectketo.com/why-ketones-cause-stomach-pain/"	"2023-02-18 16:10:18"	"2023-04-12 15:15:38"
"keto 2.0 diet"	"People also ask, Sitelinks, Video preview"	"500"	"2"	""	"26"	"33"	"7"	"0"	"7"	"6"	"1"	""	"https://perfectketo.com/keto-2-0/"	""	"https://perfectketo.com/keto-2-0/"	"2023-02-16 16:50:22"	"2023-04-28 21:12:53"
"ketones"	"Featured snippet, Thumbnail, People also ask, Knowledge panel, Sitelinks"	"78000"	"64"	"0.77"	"921"	"32"	"-889"	"0"	"10"	"25"	"-15"	""	"https://perfectketo.com/what-are-ketones/"	""	"https://perfectketo.com/what-are-ketones/"	"2023-03-01 14:29:48"	"2023-04-30 01:23:52"
"low carb nut butter"	"People also ask, Shopping results, Thumbnail, Top stories, Video preview"	"150"	"4"	"0.97"	"32"	"32"	"0"	"0"	"1"	"1"	""	""	"https://perfectketo.com/healthiest-nut-butters/"	""	"https://perfectketo.com/healthiest-nut-butters/"	"2023-02-28 16:03:03"	"2023-04-22 09:45:36"
"keto breadcrumb substitute"	"People also ask, Top stories, Thumbnail, Sitelinks, Image pack"	"100"	"15"	""	"7"	"32"	"26"	"0"	"5"	"1"	"4"	""	"https://perfectketo.com/low-carb-breadcrumb-substitute/"	""	"https://perfectketo.com/low-carb-breadcrumb-substitute/"	"2023-02-28 23:17:47"	"2023-04-22 09:06:14"
"keto plateau"	"People also ask, Video preview"	"1200"	"26"	"0.23"	"29"	"32"	"3"	"0"	"10"	"10"	""	"Image pack"	"https://perfectketo.com/keto-plateau/"	""	"https://perfectketo.com/keto-plateau/"	"2023-02-26 22:55:55"	"2023-05-02 00:53:05"
"keto foods list"	"Sitelinks, People also ask, Videos, Top stories, Thumbnail"	"6000"	"68"	""	"21"	"32"	"12"	"0"	"19"	"17"	"2"	""	"https://perfectketo.com/full-ketogenic-diet-food-list/"	""	"https://perfectketo.com/full-ketogenic-diet-food-list/"	"2023-02-28 02:31:41"	"2023-05-01 12:39:44"
"does cabbage have carbs"	"People also ask, Knowledge panel, Top stories, Thumbnail"	"1300"	"16"	"0.10"	"21"	"32"	"12"	"0"	"5"	"3"	"2"	""	"https://perfectketo.com/carbs-in-cabbage/"	""	"https://perfectketo.com/carbs-in-cabbage/"	"2023-02-28 07:32:19"	"2023-04-25 04:50:28"
"clean keto food list"	"People also ask, Top stories, Thumbnail, Video preview"	"1100"	"21"	""	"60"	"32"	"-28"	"0"	"5"	"10"	"-5"	"Image pack"	"https://perfectketo.com/clean-keto-diet/"	""	"https://perfectketo.com/clean-keto-diet/"	"2023-02-25 05:18:57"	"2023-04-29 10:30:15"
"are water chestnuts keto"	"Featured snippet, Thumbnail, People also ask, Sitelinks, Top stories, Video preview"	"200"	"0"	""	"32"	"32"	"0"	"0"	"1"	"1"	""	"Featured snippet"	"https://perfectketo.com/are-water-chestnuts-keto/"	"Featured snippet"	"https://perfectketo.com/are-water-chestnuts-keto/"	"2023-02-19 15:14:29"	"2023-04-13 09:23:32"
"keto potluck ideas"	"Top stories, Thumbnail, People also ask, Sitelinks"	"350"	"9"	""	"33"	"32"	"-1"	"0"	"3"	"3"	""	""	"https://perfectketo.com/keto-potluck-ideas/"	""	"https://perfectketo.com/keto-potluck-ideas/"	"2023-02-24 07:52:44"	"2023-04-22 02:44:21"
"perfect keto.com"	"Sitelinks, People also ask, Image pack, Video preview"	"100"	"6"	""	"19"	"32"	"12"	"0"	"1"	"1"	""	""	"https://perfectketo.com/"	""	"https://perfectketo.com/"	"2023-02-19 00:58:45"	"2023-04-14 03:09:31"
"no carb food list printable"	"People also ask, Sitelinks, Top stories, Thumbnail, Video preview"	"300"	"20"	"0.50"	"16"	"32"	"15"	"0"	"8"	"5"	"3"	""	"https://perfectketo.com/low-carb-food-list-printable/"	""	"https://perfectketo.com/low-carb-food-list-printable/"	"2023-02-25 23:17:24"	"2023-04-19 21:11:04"
"monk fruit sweetener keto"	"People also ask, Shopping results, Thumbnail"	"1000"	"17"	""	"25"	"31"	"6"	"0"	"6"	"5"	"1"	""	"https://perfectketo.com/monk-fruit/"	""	"https://perfectketo.com/monk-fruit/"	"2023-02-23 15:57:17"	"2023-04-29 18:11:40"
"keto omelette"	"Top stories, Thumbnail, People also ask, Sitelinks, Video preview"	"1000"	"5"	"0.00"	"31"	"31"	"0"	"0"	"8"	"8"	""	""	"https://perfectketo.com/keto-omelette/"	""	"https://perfectketo.com/keto-omelette/"	"2023-02-28 17:13:29"	"2023-04-26 01:59:06"
"carbs in honey"	"People also ask, Sitelinks, Knowledge panel, Top stories, Thumbnail"	"6500"	"13"	"0.99"	"76"	"31"	"-45"	"0"	"8"	"12"	"-4"	""	"https://perfectketo.com/carbs-in-honey/"	""	"https://perfectketo.com/carbs-in-honey/"	"2023-02-28 13:09:43"	"2023-04-30 14:30:17"
"best keto nut butter"	"People also ask, Shopping results, Thumbnail, Top stories, Sitelinks, Image pack"	"90"	"4"	""	"31"	"31"	"0"	"0"	"1"	"1"	""	""	"https://perfectketo.com/healthiest-nut-butters/"	""	"https://perfectketo.com/healthiest-nut-butters/"	"2023-02-16 15:34:12"	"2023-04-10 23:19:46"
"7-day keto meal plan pdf free"	"Sitelinks, Video preview"	"90"	"4"	""	"31"	"31"	"0"	"0"	"1"	"1"	""	""	"https://www.perfectketo.com/wp-content/uploads/2018/03/01_7-Day-Keto-Meal-Plan-Under-1600-Daily-Calories.pdf"	""	"https://www.perfectketo.com/wp-content/uploads/2018/03/01_7-Day-Keto-Meal-Plan-Under-1600-Daily-Calories.pdf"	"2023-02-07 11:43:34"	"2023-04-28 01:35:35"
"eritritol keto"	"Featured snippet, Thumbnail, People also ask, Shopping results, Sitelinks, Image pack, Top stories"	"90"	"12"	""	"31"	"31"	"0"	"0"	"1"	"1"	""	""	"https://perfectketo.com/erythritol-keto-sweetener/"	"Featured snippet"	"https://perfectketo.com/erythritol-keto-sweetener/"	"2023-02-18 19:06:54"	"2023-04-12 21:45:17"
"ketone measurement chart"	"People also ask, Sitelinks"	"250"	"15"	""	"13"	"31"	"18"	"0"	"7"	"3"	"4"	""	"https://perfectketo.com/ketone-strips-color-chart/"	""	"https://perfectketo.com/ketone-strips-color-chart/"	"2023-03-01 19:38:03"	"2023-04-23 16:33:42"
"can you build muscle on keto"	"Featured snippet, Thumbnail, People also ask"	"600"	"19"	"0.00"	"25"	"31"	"6"	"0"	"7"	"6"	"1"	""	"https://perfectketo.com/keto-bodybuilding/"	""	"https://perfectketo.com/keto-bodybuilding/"	"2023-02-27 03:01:03"	"2023-05-02 09:16:58"
"gymnema benefits"	"Featured snippet, Thumbnail, People also ask, Sitelinks"	"1600"	"27"	"0.28"	"25"	"31"	"6"	"0"	"11"	"10"	"1"	""	"https://perfectketo.com/benefits-gymnema-sylvestre/"	""	"https://perfectketo.com/benefits-gymnema-sylvestre/"	"2023-02-23 10:00:04"	"2023-04-28 06:47:23"
"how long is it safe to be in ketosis"	"Featured snippet, Thumbnail, People also ask"	"900"	"28"	"0.53"	"31"	"31"	"0"	"0"	"7"	"7"	""	""	"https://perfectketo.com/how-long-should-you-do-keto/"	""	"https://perfectketo.com/how-long-should-you-do-keto/"	"2023-02-24 01:25:03"	"2023-05-01 20:18:15"
"ketosis symptoms"	"Featured snippet, Thumbnail, People also ask, Sitelinks"	"12000"	"60"	""	"0"	"31"	"31"	"0"	"16"	"20"	"-4"	""	"https://perfectketo.com/ketosis-symptoms/"	""	"https://perfectketo.com/ketosis-symptoms/"	"2023-02-28 09:52:03"	"2023-05-01 19:34:24"
"free keto calculator"	"People also ask, Image pack"	"1600"	"56"	""	"21"	"31"	"10"	"0"	"9"	"8"	"1"	""	"https://perfectketo.com/keto-macro-calculator/"	""	"https://perfectketo.com/keto-macro-calculator/"	"2023-02-28 10:31:05"	"2023-04-28 18:40:13"
"keto friendly pasta"	"Featured snippet, Thumbnail, People also ask, Top stories, Shopping results, Sitelinks"	"2400"	"9"	""	"0"	"31"	"30"	"0"	"31"	"11"	"20"	""	"https://perfectketo.com/low-carb-pasta-substitutes/"	""	"https://perfectketo.com/best-low-carb-pasta-and-noodles/"	"2023-02-25 19:23:07"	"2023-04-30 16:17:33"
"keto carnivore"	"People also ask, Videos"	"450"	"5"	""	"3"	"31"	"27"	"0"	"15"	"5"	"10"	""	"https://perfectketo.com/carnivore-diet-meal-plan/"	""	"https://perfectketo.com/carnivore-diet/"	"2023-02-26 07:58:33"	"2023-04-22 15:31:06"
"soybean oil bad for you"	"Featured snippet, Thumbnail, People also ask, Image pack, Top stories"	"2400"	"32"	"0.00"	"48"	"31"	"-17"	"0"	"11"	"13"	"-2"	""	"https://perfectketo.com/soybean-oil/"	""	"https://perfectketo.com/soybean-oil/"	"2023-02-28 20:51:34"	"2023-04-25 18:49:05"
"can you eat cucumbers on keto"	"Image pack, Sitelinks"	"250"	"17"	""	"24"	"31"	"6"	"0"	"4"	"3"	"1"	""	"https://perfectketo.com/are-cucumbers-keto/"	""	"https://perfectketo.com/are-cucumbers-keto/"	"2023-02-24 17:50:03"	"2023-04-18 14:07:38"
"keto for cutting"	"People also ask, Sitelinks, Video preview, Image pack"	"80"	"13"	""	"30"	"30"	"0"	"0"	"1"	"1"	""	""	"https://perfectketo.com/how-to-cut/"	""	"https://perfectketo.com/how-to-cut/"	"2023-02-26 07:51:03"	"2023-04-20 22:48:12"
"is jicama high in carbs"	"Featured snippet, Thumbnail, People also ask, Top stories"	"80"	"14"	"0.01"	"10"	"30"	"21"	"0"	"3"	"1"	"2"	""	"https://perfectketo.com/jicama-keto-friendly/"	"Featured snippet"	"https://perfectketo.com/jicama-keto-friendly/"	"2023-02-05 12:43:13"	"2023-04-26 11:05:37"
"keto takeout near me"	"People also ask, Sitelinks"	"150"	"42"	""	"38"	"30"	"-8"	"0"	"1"	"2"	"-1"	""	"https://perfectketo.com/keto-fast-food/"	""	"https://perfectketo.com/keto-fast-food/"	"2023-02-26 05:48:08"	"2023-04-22 15:55:32"
"spaghetti squash keto"	"Sitelinks, People also ask, Top stories, Thumbnail, Video preview"	"1400"	"13"	"0.00"	"115"	"30"	"-85"	"0"	"1"	"8"	"-7"	"Top stories"	"https://perfectketo.com/keto-spaghetti-squash/"	""	"https://perfectketo.com/keto-spaghetti-squash/"	"2023-02-28 12:54:12"	"2023-05-01 16:02:06"
"keto electrolyte powder"	"Sitelinks, Shopping results, Thumbnail, People also ask"	"500"	"2"	""	"24"	"30"	"6"	"0"	"5"	"4"	"1"	""	"https://perfectketo.com/best-keto-electrolytes/"	""	"https://perfectketo.com/best-keto-electrolytes/"	"2023-03-01 18:53:27"	"2023-04-26 08:33:36"
"how many carbs in black beans"	"Featured snippet, Thumbnail, People also ask, Sitelinks, Top stories"	"1000"	"36"	""	"24"	"30"	"6"	"0"	"10"	"9"	"1"	""	"https://perfectketo.com/carbs-in-beans/"	""	"https://perfectketo.com/carbs-in-beans/"	"2023-02-23 20:09:58"	"2023-04-29 08:02:40"
"glucose ketone index"	"Sitelinks, Video preview"	"300"	"9"	"0.00"	"30"	"30"	"0"	"0"	"5"	"5"	""	""	"https://perfectketo.com/track-your-glucose-ketone-index/"	""	"https://perfectketo.com/glucose-ketone-index/"	"2023-02-22 13:10:59"	"2023-04-15 03:28:24"
"fatty foods for keto"	"Image pack, Videos, Top stories, Thumbnail"	"500"	"28"	"0.40"	"23"	"30"	"7"	"0"	"7"	"6"	"1"	""	"https://perfectketo.com/high-fat-low-carb-foods/"	""	"https://perfectketo.com/high-fat-low-carb-foods/"	"2023-02-26 17:28:05"	"2023-04-19 19:14:42"
"keto replacement for cornstarch"	"People also ask, Sitelinks, Top stories, Thumbnail, Image pack"	"80"	"10"	""	"30"	"30"	"0"	"0"	"1"	"1"	""	""	"https://perfectketo.com/low-carb-cornstarch-substitute/"	""	"https://perfectketo.com/low-carb-cornstarch-substitute/"	"2023-02-18 21:27:50"	"2023-04-13 02:11:43"
"how to eat 4,700 mg of potassium a day on keto"	"Featured snippet, Thumbnail, People also ask, Sitelinks"	"80"	"12"	""	""	"30"	""	"0"	""	"1"	"New"	""	""	"Featured snippet"	"https://perfectketo.com/potassium-rich-foods/"	""	"2023-04-29 07:34:20"
"7 day keto meal plan"	"People also ask, Sitelinks, Video preview"	"500"	"48"	"0.76"	"24"	"30"	"6"	"0"	"8"	"7"	"1"	""	"https://perfectketo.com/keto-weight-loss-meal-plan/"	""	"https://perfectketo.com/keto-weight-loss-meal-plan/"	"2023-02-23 13:22:37"	"2023-04-27 07:32:39"
"printable keto food list"	"Image pack, Thumbnail, Sitelinks, Top stories"	"1000"	"34"	"1.31"	"24"	"30"	"6"	"0"	"11"	"10"	"1"	""	"https://perfectketo.com/low-carb-food-list-printable/"	""	"https://perfectketo.com/low-carb-food-list-printable/"	"2023-02-26 14:26:28"	"2023-05-01 22:06:51"
"keto sourdough bread"	"Top stories, Thumbnail, People also ask, Videos, Shopping results, Sitelinks"	"700"	"39"	""	"164"	"30"	"-134"	"0"	"1"	"9"	"-8"	"Top stories"	"https://perfectketo.com/keto-sourdough-bread-recipe/"	""	"https://perfectketo.com/keto-sourdough-bread-recipe/"	"2023-02-26 04:40:03"	"2023-05-02 02:23:48"
"low carb bean substitute"	"Image pack, Top stories, Thumbnail, Video preview"	"80"	"17"	"0.00"	"10"	"30"	"20"	"0"	"3"	"1"	"2"	""	"https://perfectketo.com/low-carb-bean-substitutes/"	""	"https://perfectketo.com/low-carb-bean-substitutes/"	"2023-02-26 19:34:16"	"2023-04-19 20:33:13"
"anti inflammatory keto diet"	"People also ask, Top stories, Thumbnail, Video preview, Image pack"	"80"	"10"	""	"30"	"30"	"0"	"0"	"1"	"1"	""	""	"https://perfectketo.com/anti-inflammatory-foods/"	""	"https://perfectketo.com/anti-inflammatory-foods/"	"2023-02-20 06:23:34"	"2023-04-14 20:36:19"
"carbs in rice"	"People also ask, Knowledge panel, Top stories, Thumbnail, Video preview"	"16000"	"41"	"2.25"	"46"	"30"	"-17"	"0"	"13"	"15"	"-2"	""	"https://perfectketo.com/is-rice-low-carb-friendly/"	""	"https://perfectketo.com/is-rice-low-carb-friendly/"	"2023-02-28 04:00:17"	"2023-05-02 05:10:51"
"why is canola oil bad"	"Featured snippet, Thumbnail, People also ask, Sitelinks, Video preview, Top stories"	"350"	"62"	"0.00"	"29"	"29"	"0"	"0"	"4"	"4"	""	""	"https://perfectketo.com/canola-oil/"	""	"https://perfectketo.com/canola-oil/"	"2023-02-06 01:54:34"	"2023-04-25 19:24:44"
"antioxidant drinks"	"People also ask, Shopping results, Thumbnail, Sitelinks, Video preview, Top stories"	"800"	"11"	"1.34"	""	"29"	""	"0"	""	"5"	"New"	""	""	""	"https://perfectketo.com/best-antioxidant-drinks/"	""	"2023-04-28 05:45:18"
"high fat foods for keto"	"Sitelinks, People also ask, Image pack, Videos, Top stories, Thumbnail"	"1000"	"26"	"1.46"	"51"	"29"	"-22"	"0"	"6"	"8"	"-2"	""	"https://perfectketo.com/high-fat-low-carb-foods/"	"Image pack"	"https://perfectketo.com/how-much-fat-should-you-eat-on-a-ketogenic-diet/"	"2023-02-28 17:50:39"	"2023-04-27 13:32:44"
"high fat no carb foods"	"Sitelinks, People also ask, Top stories, Thumbnail, Videos"	"300"	"33"	"0.21"	"29"	"29"	"0"	"0"	"3"	"3"	""	""	"https://perfectketo.com/high-fat-low-carb-foods/"	""	"https://perfectketo.com/high-fat-low-carb-foods/"	"2023-02-11 18:59:51"	"2023-04-07 00:30:21"
